slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
princeton,"Princeton",PRINCE,2010-11,2024-25,14,267
providence,"Providence",PROVID,2010-11,2025-26,16,234
providence-mt,"Providence MT",PM,2011-12,2017-18,5,61
ps-altoona,"PS Altoona",PA,2024-25,2024-25,1,15
ps-brandywine,"PS Brandywine",PB,2023-24,2023-24,1,11
ps-fayette,"PS Fayette",PF,2024-25,2024-25,1,10
ps-gtr-allegh,"PS Gtr Allegh.",PGA,2023-24,2023-24,1,13
ps-n-kensington,"PS N.Kensington",PN,2023-24,2023-24,1,8
ps-schuylkill,"PS Schuylkill",PS,2023-24,2024-25,2,31
ps-scranton,"PS Scranton",PS,2024-25,2024-25,1,11
ps-shenango,"PS Shenango",PS,2024-25,2024-25,1,14
ps-wilkes-barre,"PS Wilkes Barre",PWB,2023-24,2024-25,2,25
ps-york,"PS York",PY,2023-24,2024-25,2,27
puget-sound,"Puget Sound",PS,2017-18,2019-20,3,42
purchase,"Purchase",PURCHA,2019-20,2024-25,2,27
purdue,"Purdue",PURDUE,2010-11,2025-26,16,245
purdue-ncent,"Purdue-NCent.",PURDUE,2015-16,2015-16,1,11
purdue-nw,"Purdue NW",PN,2013-14,2024-25,6,75
pvamu,"PVAMU",PVAMU,2018-19,2025-26,8,119
queens-nc,"Queens NC",QN,2020-21,2025-26,5,63
queens-ny,"Queens NY",QN,2015-16,2023-24,3,35
quincy,"Quincy",QUINCY,2011-12,2020-21,7,84
quinnipiac,"Quinnipiac",QUINNI,2010-11,2025-26,16,254
radford,"Radford",RADFOR,2010-11,2025-26,16,259
randall,"Randall",RANDAL,2013-14,2024-25,7,105
randolph,"Randolph",RANDOL,2011-12,2024-25,7,104
redlands,"Redlands",REDLAN,2011-12,2019-20,2,26
regent,"Regent",REGENT,2018-19,2024-25,4,48
regis-coll,"Regis Coll.",RC,2024-25,2024-25,1,17
regis-univ,"Regis Univ.",RU,2014-15,2020-21,3,32
reinhardt,"Reinhardt",REINHA,2011-12,2023-24,10,149
rhode-island,"Rhode Island",RI,2010-11,2023-24,10,174
rhodes,"Rhodes",RHODES,2014-15,2024-25,3,43
rice,"Rice",RICE,2010-11,2025-26,16,260
richmond,"Richmond",RICHMO,2010-11,2025-26,16,262
rider,"Rider",RIDER,2010-11,2025-26,16,240
rio-grande,"Rio Grande",RG,2011-12,2019-20,6,72
rivier,"Rivier",RIVIER,2018-19,2024-25,3,37
rmc,"RMC",RMC,2024-25,2024-25,1,13
rmu,"RMU",RMU,2018-19,2025-26,8,98
rmu-springfield,"RMU Springfield",RS,2012-13,2014-15,3,27
roanoke,"Roanoke",ROANOK,2011-12,2015-16,3,42
robert-morris,"Robert Morris",RM,2010-11,2017-18,8,137
rochester-mi,"Rochester MI",RM,2011-12,2020-21,8,86
rockford,"Rockford",ROCKFO,2017-18,2024-25,5,80
rockhurst,"Rockhurst",ROCKHU,2011-12,2017-18,5,62
rocky-mountain,"Rocky Mountain",RM,2016-17,2023-24,3,31
roger-williams,"Roger Williams",RW,2023-24,2023-24,1,10
rogers-st,"Rogers St.",RS,2011-12,2024-25,6,66
roosevelt,"Roosevelt",ROOSEV,2011-12,2016-17,5,70
rosemont,"Rosemont",ROSEMO,2018-19,2024-25,4,55
rowan,"Rowan",ROWAN,2014-15,2017-18,4,59
ru-camden,"RU Camden",RC,2019-20,2019-20,1,11
rust,"Rust",RUST,2011-12,2024-25,8,78
rutgers,"Rutgers",RUTGER,2010-11,2025-26,16,251
rutgers-camden,"Rutgers-Camden",RUTGER,2011-12,2011-12,1,11
rutgers-newark,"Rutgers-Newark",RUTGER,2015-16,2015-16,1,8
rwu,"RWU",RWU,2023-24,2023-24,1,13
s-alabama,"S.Alabama",S.ALAB,2010-11,2017-18,8,141
s-arkansas,"S.Arkansas",S.ARKA,2013-14,2014-15,2,22
s-carolina,"S.Carolina",S.CARO,2010-11,2025-26,16,247
s-carolina-st,"S.Carolina St.",SS,2010-11,2017-18,8,149
s-dakota,"S.Dakota",S.DAKO,2010-11,2025-26,16,239
s-dakota-mines,"S.Dakota Mines",SM,2014-15,2014-15,1,13
s-dakota-st,"S.Dakota St.",SS,2010-11,2025-26,16,220
s-florida,"S.Florida",S.FLOR,2010-11,2025-26,15,220
s-illinois,"S.Illinois",S.ILLI,2010-11,2017-18,8,142
s-indiana,"S.Indiana",S.INDI,2022-23,2025-26,4,54
s-mississippi,"S.Mississippi",S.MISS,2010-11,2017-18,8,134
s-nazarene,"S.Nazarene",S.NAZA,2016-17,2017-18,2,22
s-oregon,"S.Oregon",S.OREG,2016-17,2024-25,2,23
s-utah,"S.Utah",S.UTAH,2010-11,2017-18,8,151
s-vermont,"S.Vermont",S.VERM,2014-15,2014-15,1,12
s-virginia,"S.Virginia",S.VIRG,2011-12,2016-17,4,56
s-wesleyan,"S.Wesleyan",S.WESL,2011-12,2024-25,8,95
sacramento-st,"Sacramento St.",SS,2010-11,2025-26,16,248
sacred-heart,"Sacred Heart",SH,2010-11,2025-26,16,233
saginaw-valley,"Saginaw Valley",SV,2011-12,2011-12,1,9
sagu,"SAGU",SAGU,2018-19,2018-19,1,8
sagu-aic,"SAGU AIC",SA,2019-20,2023-24,3,33
salem,"Salem",SALEM,2020-21,2020-21,1,7
salem-intern,"Salem Intern.",SI,2016-17,2016-17,1,11
salisbury,"Salisbury",SALISB,2012-13,2013-14,2,28
salve-regina,"Salve Regina",SR,2013-14,2018-19,3,43
sam-houston-st,"Sam Houston St.",SHS,2010-11,2017-18,8,151
samford,"Samford",SAMFOR,2010-11,2025-26,16,269
san-diego,"San Diego",SD,2010-11,2025-26,16,267
san-diego-chr,"San Diego Chr.",SDC,2011-12,2017-18,7,91
san-diego-st,"San Diego St.",SDS,2010-11,2017-18,8,144
san-francisco-st,"San Francisco St.",SFS,2011-12,2017-18,6,75
san-jose-st,"San Jose St.",SJS,2010-11,2017-18,8,138
santa-clara,"Santa Clara",SC,2010-11,2025-26,16,252
sarah-lawrence,"Sarah Lawrence",SL,2014-15,2017-18,3,33
savannah-st,"Savannah St.",SS,2010-11,2017-18,8,164
